name,wpca:d1,wpca:d2,result,opacity,r,color,id
ANO,-0.124542314,-0.078598802,1,0.7,0.15,cyan,1
ČSSD,-0.377571835,-0.331674183,1,0.7,0.15,orange,2
KDU-ČSL,0.329430783,-0.586085387,1,0.7,0.15,gold,3
KSČM,-0.529139305,-0.102997329,1,0.7,0.15,red,4
ODS,0.389837811,0.218746249,1,0.7,0.15,blue,5
Piráti,0.407153338,0.098551301,1,0.7,0.15,black,6
Svobodní,0.623253892,0.079675963,1,0.7,0.15,"rgb(0,101,78)",7
Strana zelených,-0.540339092,-0.17583601,1,0.7,0.15,green,8
TOP 09,0.20087861,-0.088694572,1,0.7,0.15,darkviolet,9
Úsvit,-0.245310899,0.872568126,1,0.7,0.15,brown,10
